64259, -91606, -98379, 63323, 13786, -74596, 457, 10292, 23493, -42547, -57343, 13822, 57319, 103972, -117199, 3744, -7731, -87498, 18221, 42907, 		60126, -97852, -111606, -30650, -45410, -154291, 65968, 29866, 24707, -60761, -42174, -53006, 50503, -39706, -183912, 41769, -91185, 46076, -168935, 1402, 		72471, -49233, 134316, 126844, 139405, -147840, 72231, 83873, 787, -6750, -43736, 47803, -10220, -63512, -48165, 34706, -79417, 83711, -46482, -51820, 		 (17,38) - [14, 25, 42, 39, 0, 18, 11, 53, 48, 31, 40, 46, 24, 28, 51, 8, 30, 45, 29, 16, 34, 1, 22, 6, 15, 32, 43, 58, 13, 60, 20, 59, 61, 41, 33, 50, 54, 36, 37, 7, 9, 63, 44, 52, 47, 17, 2, 26, 56, 49, 57, 27, 21, 3, 55, 62, 19, 38, 23, 35, 4, 12, 10, 5]
87107, -90528, -74390, 41046, 34799, -60197, -20034, 42094, 22877, 43441, -80002, -6121, 60106, 39004, -95693, 22453, 12413, -87645, 37997, 62066, 		59398, -92190, -90039, 1366, -22904, -129544, 63647, 27671, 24392, -7921, -41228, -32484, 50817, -95551, -186161, 42351, -93870, 46606, -189636, 21379, 		53777, -27405, 132685, 123411, 139878, -147096, 54095, 14486, -19313, -7573, -42899, 28938, -10607, -62557, -47783, 15065, -58110, 83808, -27417, -49115, 		 (8,44) - [14, 25, 42, 39, 0, 18, 48, 53, 11, 31, 40, 38, 24, 58, 51, 8, 55, 45, 29, 16, 34, 1, 22, 6, 15, 32, 43, 28, 13, 60, 20, 59, 61, 41, 33, 50, 54, 36, 37, 7, 9, 63, 44, 52, 47, 17, 2, 26, 56, 49, 57, 27, 21, 3, 30, 62, 19, 46, 23, 35, 4, 12, 10, 5]
65223, -95673, -98925, 58045, 14583, -54298, 373, 64850, 1613, 22633, -79030, -6627, 78888, 118581, -27824, 23750, 13056, -85813, 39752, 61737, 		82757, -112901, -106961, -32126, -42221, -147527, 67973, 5492, 24566, 12630, -60489, -51942, 66954, -62087, -175145, 43149, -92823, -35781, -193262, 284, 		54901, -26004, 109163, 145704, 139759, -173360, 74485, -5872, -19026, -5784, -22892, -10662, -10166, -80966, -49568, 35064, -58934, 82426, -48925, -48966, 		 (7,44) - [14, 25, 42, 39, 0, 18, 33, 53, 48, 31, 40, 38, 24, 58, 51, 8, 30, 45, 29, 16, 34, 1, 22, 6, 37, 32, 43, 28, 13, 60, 20, 59, 61, 41, 11, 50, 54, 36, 15, 7, 9, 63, 44, 52, 47, 17, 2, 26, 56, 49, 57, 27, 21, 3, 55, 62, 19, 46, 23, 35, 4, 12, 10, 5]
65949, -97761, -78906, 62494, -64613, -74193, 19836, 9891, 35410, 16888, -61514, -25946, 53857, 103440, -142113, -15690, 12713, -88817, -2978, 21434, 		78803, -94355, -114842, 90203, -41840, -152098, 85793, 26006, 24478, 28778, -39789, -54068, 69248, -57579, -179922, 13254, -78960, 24800, -183811, 1558, 		93460, -66953, 132234, 125286, 80091, -129651, 76800, 85009, 596, -6850, -45969, 23616, 9482, -43054, -48723, 34162, -98727, 110005, -63005, -31888, 		 (7,36) - [14, 25, 42, 39, 0, 18, 11, 53, 48, 31, 40, 46, 24, 28, 51, 8, 30, 45, 29, 16, 34, 1, 22, 33, 15, 32, 43, 58, 13, 60, 38, 59, 61, 41, 6, 50, 47, 36, 37, 7, 9, 63, 44, 52, 54, 17, 2, 26, 56, 49, 57, 27, 21, 35, 55, 62, 19, 20, 23, 3, 4, 12, 10, 5]
82987, -90676, -80620, 15202, -23475, -83703, 366, 64624, 41723, 23725, -34463, -1632, 71482, 117955, -132434, 2713, 12159, -50629, 18775, 84436, 		45817, -60314, -66856, -84084, 81803, -168344, 43061, -10976, 3804, -95077, -42627, -57720, 85791, -57760, -166261, 59480, -40961, 64852, -171984, -18503, 		41358, -29842, 83682, 152676, 136083, -120573, 33381, -4603, -19749, 12852, 80749, 53116, 9458, -51188, -29179, 70759, -32722, 108423, -30108, -68264, 		 (5,39) - [2, 46, 42, 39, 0, 18, 11, 26, 48, 31, 40, 38, 24, 58, 17, 8, 30, 45, 29, 16, 14, 37, 22, 6, 15, 32, 43, 28, 13, 60, 20, 59, 61, 41, 33, 50, 54, 36, 1, 7, 9, 63, 44, 52, 47, 51, 34, 53, 56, 49, 57, 27, 21, 3, 55, 62, 19, 25, 23, 35, 4, 12, 10, 5]
89213, 37236, -53019, 40946, -32314, -74489, 112151, 2204, -48380, 119578, -71247, 74651, -72791, 50104, -28739, 31493, 18352, -50204, -79807, -57494, 		117946, -5374, 25022, 86922, 55479, -35301, 76110, 26039, -55169, -73553, 6863, -92053, -23850, -42699, -88904, 50527, -71408, 24224, -213873, 72666, 		53131, -51659, -19260, 70631, 4054, -412582, 77500, -25928, -55792, 20044, 89108, 43702, 17472, -43414, -11391, 27370, -8216, 121073, -16679, -46562, 		 (13,45) - [57, 29, 50, 10, 38, 17, 27, 35, 56, 6, 33, 44, 52, 36, 43, 12, 16, 53, 60, 62, 51, 58, 18, 40, 34, 3, 63, 39, 47, 54, 1, 5, 61, 59, 24, 41, 21, 31, 30, 15, 13, 11, 4, 9, 20, 14, 19, 46, 22, 0, 26, 2, 8, 49, 55, 23, 7, 45, 42, 32, 37, 48, 28, 25]
64107, 60236, -42388, 28726, -63980, -89806, 117201, 67326, -31533, 128305, -46300, 109541, -85164, -42487, -18085, -29605, 8856, -35696, -77174, -24565, 		78871, 25432, 57477, 74393, 45768, -45341, 49001, 14807, -40524, -14896, -66939, -83580, -14497, -31725, -98018, 21812, -60598, 33894, -261272, 13325, 		62711, -18853, -29744, -33038, -25302, -419522, 43095, -17566, -63629, 11648, 76541, -65811, 28575, -34689, -22937, -2254, 2505, 82884, -27927, -15309, 		 (9,37) - [57, 29, 50, 10, 38, 43, 27, 35, 6, 56, 33, 44, 52, 36, 17, 12, 16, 53, 60, 62, 51, 58, 18, 40, 34, 3, 63, 39, 47, 7, 1, 5, 61, 59, 24, 41, 21, 31, 30, 15, 13, 11, 2, 9, 20, 14, 19, 32, 22, 8, 26, 4, 0, 49, 55, 23, 54, 45, 42, 46, 37, 48, 28, 25]
77502, 25434, -76205, 12079, -2809, -64414, 99680, 11350, 9978, 15740, -106631, 64428, -76222, 39950, -21031, 22865, -11030, -41349, -71283, -67053, 		98237, -48269, -49221, 70635, 43809, -74974, 17746, 34869, -63901, -103829, -3416, -81409, -14344, -72501, -83062, 44702, -74305, 57517, -212106, 67194, 		21034, -40499, -51939, 38351, -4681, -402063, 93969, -17479, -67822, -99576, 44127, 57462, 27404, -33989, -20324, 13934, -39248, 113428, -27450, -21848, 		 (8,44) - [57, 29, 50, 10, 38, 58, 27, 35, 56, 6, 47, 59, 52, 36, 43, 12, 16, 5, 60, 62, 4, 17, 18, 40, 34, 3, 63, 32, 33, 54, 1, 53, 61, 44, 24, 41, 21, 31, 30, 15, 13, 11, 51, 9, 20, 14, 19, 46, 22, 0, 26, 2, 8, 49, 55, 23, 7, 45, 42, 39, 37, 48, 28, 25]
77136, 47687, 45019, 29665, -42564, -62240, 104964, 12561, -38615, 113178, 35665, 67208, -82660, 57797, -38308, 21044, -97676, -59280, -90431, -47675, 		103203, -14999, 15750, 94730, 43735, -24102, 88040, 37429, -68093, -83407, 16623, -84734, -34319, -51324, -102757, 39529, -78385, 10449, -214720, 79270, 		43324, -39976, -8950, 55854, 13826, -422729, 84613, -16569, -47162, 31428, -75606, 33466, 28211, -51290, -1210, 38823, 2192, 107769, -27363, -54741, 		 (7,44) - [39, 29, 50, 10, 38, 17, 27, 35, 56, 6, 33, 44, 52, 36, 43, 59, 16, 53, 60, 62, 51, 58, 18, 40, 34, 3, 63, 57, 47, 54, 1, 5, 61, 12, 24, 41, 21, 31, 30, 15, 13, 11, 4, 9, 20, 14, 19, 46, 22, 0, 26, 2, 8, 49, 55, 23, 7, 45, 42, 32, 37, 48, 28, 25]
55222, 46169, -57840, 32634, -2629, -40591, 76327, 67799, -39670, 121055, -85962, 84366, -103096, 19908, -42736, 22203, -11680, 67676, -87662, -67989, 		84134, -48572, 15058, 72608, 62866, -97052, 88621, 56096, -66068, -83300, 16272, -80251, -14832, -72484, -77590, 63049, -72187, 36243, -225583, 47214, 		40042, -41034, -52451, 37950, -4581, -357710, 89854, -36360, -45644, 49216, 63229, 57652, 26645, 90311, -21944, 33900, -17127, 111846, -7208, 68045, 		 (7,40) - [57, 29, 50, 45, 38, 58, 27, 35, 56, 6, 47, 59, 52, 36, 43, 12, 16, 5, 60, 8, 51, 17, 18, 40, 34, 3, 63, 39, 33, 54, 1, 53, 61, 44, 24, 41, 21, 31, 30, 15, 13, 11, 4, 9, 20, 14, 19, 46, 22, 0, 26, 2, 62, 49, 55, 23, 7, 10, 42, 32, 37, 48, 28, 25]
